,uuid,name_first,country,male,level,gender,F,M,?
93753,ed9e3219-f092-11eb-b0cf-121df0c29c1e,Bodi,CN,1.0,3.0,M,0.0,1.0,0.0
93754,ed9e3a62-f092-11eb-b0cf-121df0c29c1e,Christopher James,US,1.0,2.0,M,0.0,1.0,0.0
93755,ed9e7ce6-f092-11eb-b0cf-121df0c29c1e,Nan,CN,,,,,,
93756,ed9e8cbe-f092-11eb-b0cf-121df0c29c1e,Igor,ES,1.0,1.0,M,0.0,1.0,0.0
93757,ed9e91fe-f092-11eb-b0cf-121df0c29c1e,Dan,ES,1.0,3.0,M,0.0,1.0,0.0
93758,ed9eb786-f092-11eb-b0cf-121df0c29c1e,Basil,US,1.0,2.0,M,0.0,1.0,0.0
93759,ed9ee419-f3ce-11eb-b0cf-121df0c29c1e,James,US,1.0,2.0,M,0.0,1.0,0.0
93760,ed9ef0bf-f3ce-11eb-b0cf-121df0c29c1e,Brittany Alease,US,0.0,1.0,F,0.99697286,0.0,0.0
93761,ed9f348a-f092-11eb-b0cf-121df0c29c1e,Magnus,SE,1.0,1.0,M,0.0,1.0,0.0
93762,ed9f3a47-f3ce-11eb-b0cf-121df0c29c1e,Mark J.,US,1.0,2.0,M,0.0,1.0,0.0
93763,ed9f3da6-f092-11eb-b0cf-121df0c29c1e,Paul,JP,1.0,3.0,M,0.0,1.0,0.0
93764,ed9f5097-f092-11eb-b0cf-121df0c29c1e,Jaehoon,US,1.0,,,,,
93765,ed9f5340-f092-11eb-b0cf-121df0c29c1e,Alexander N.,US,1.0,2.0,M,0.0,1.0,0.0
93766,ed9f5892-f092-11eb-b0cf-121df0c29c1e,Matt E.,US,1.0,2.0,M,0.0,1.0,0.0
93767,ed9f9366-f3ce-11eb-b0cf-121df0c29c1e,Yotam,US,1.0,1.0,M,0.0,1.0,0.0
93768,ed9f96f2-f3ce-11eb-b0cf-121df0c29c1e,Avishay,US,1.0,1.0,M,0.0,1.0,0.0
93769,ed9fa5fc-f3ce-11eb-b0cf-121df0c29c1e,Yuka,JP,0.0,1.0,F,1.0,0.0,0.0
93770,ed9fe063-f092-11eb-b0cf-121df0c29c1e,Christian,JP,1.0,3.0,M,0.0,1.0,0.0
93771,ed9fedb5-f092-11eb-b0cf-121df0c29c1e,Pedro,CN,1.0,,,,,
93772,eda04284-f3ce-11eb-b0cf-121df0c29c1e,Ernest,CA,1.0,1.0,M,0.0,1.0,0.0
93773,eda08a7e-f3ce-11eb-b0cf-121df0c29c1e,CHRISTIAN,DE,1.0,1.0,M,0.0,1.0,0.0
93774,eda08ec1-f092-11eb-b0cf-121df0c29c1e,TOBIAS,CA,1.0,1.0,M,0.0,1.0,0.0
93775,eda0951e-f3ce-11eb-b0cf-121df0c29c1e,Ralf,DE,1.0,1.0,M,0.0,1.0,0.0
93776,eda09c39-f3ce-11eb-b0cf-121df0c29c1e,Elisabeth,DE,0.0,1.0,F,1.0,0.0,0.0
93777,eda0a46f-f3ce-11eb-b0cf-121df0c29c1e,Elisabeth,DE,0.0,1.0,F,1.0,0.0,0.0
93778,eda0abb3-f3ce-11eb-b0cf-121df0c29c1e,Ralf,DE,1.0,1.0,M,0.0,1.0,0.0
93779,eda0abee-f092-11eb-b0cf-121df0c29c1e,Oleg M.,US,1.0,1.0,M,0.0,1.0,0.0
93780,eda0b128-f092-11eb-b0cf-121df0c29c1e,Yamiel L.,US,,2.0,M,0.0,1.0,0.0
93781,eda0b336-f3ce-11eb-b0cf-121df0c29c1e,Brian J.,US,1.0,2.0,M,0.0,1.0,0.0
93782,eda0b653-f092-11eb-b0cf-121df0c29c1e,David,US,1.0,2.0,M,0.0,1.0,0.0
93783,eda0bd73-f3ce-11eb-b0cf-121df0c29c1e,Aaron J.,US,1.0,2.0,M,0.0,1.0,0.0
93784,eda0c6ea-f092-11eb-b0cf-121df0c29c1e,Stanislaw,PL,1.0,1.0,M,0.0,1.0,0.0
93785,eda0e32d-f3ce-11eb-b0cf-121df0c29c1e,Michael,DE,1.0,1.0,M,0.0,1.0,0.0
93786,eda0eb0e-f3ce-11eb-b0cf-121df0c29c1e,Xaver Ralf,DE,1.0,1.0,M,0.0,1.0,0.0
93787,eda0f6c3-f3ce-11eb-b0cf-121df0c29c1e,Patrick,DE,1.0,1.0,M,0.0,1.0,0.0
93788,eda0fea5-f3ce-11eb-b0cf-121df0c29c1e,MARK E.,US,1.0,2.0,M,0.0,1.0,0.0
