,name_first,country,level,gender,F,M,?
41332,Ahila,IN,1.0,F,1.0,0.0,0.0
41370,Aiguo,CN,1.0,M,0.0,1.0,0.0
21494,Xiaozhong,US,3.0,M,0.0,1.0,0.0
7906,Zhongtao,CN,,not found,not found,not found,not found
7907,Jiming,CN,,not found,not found,not found,not found
7908,Ryuhi,JP,,not found,not found,not found,not found
54311,Yi Chuan,TW,2.0,M,0.0,1.0,0.0
44412,Simon,FR,1.0,M,0.0,1.0,0.0
7909,Jinpyo,KR,,not found,not found,not found,not found
31905,Florian,AT,1.0,M,0.0,1.0,0.0
21495,Sungjin,KR,3.0,M,0.0,1.0,0.0
21496,Wei,CN,3.0,M,0.0,1.0,0.0
21497,Gregorius E.,US,3.0,M,0.0,1.0,0.0
7910,Huailiang,CN,,not found,not found,not found,not found
35221,Hyun-jin,KR,1.0,?,0.0,0.0,1.0
38421,Tuba,CA,1.0,F,1.0,0.0,0.0
31688,Robbert,NL,1.0,M,0.0,1.0,0.0
30790,Doo Hyun,KR,1.0,?,0.0,0.0,1.0
40516,Young Bin,KR,1.0,?,0.0,0.0,0.66666669
21498,Chengcheng,US,3.0,F,1.0,0.0,0.0
21499,Min-hsuan,US,3.0,M,0.0,1.0,0.0
7911,Kyungha,KR,,not found,not found,not found,not found
28455,Hae Il,KR,1.0,?,0.0,0.0,1.0
7912,Kyuseok,US,,not found,not found,not found,not found
21500,JinLong,CN,3.0,M,0.0,1.0,0.0
49110,Jason,US,2.0,M,0.0,1.0,0.0
7913,Sungwon,KR,,not found,not found,not found,not found
7914,Honglin,CN,,not found,not found,not found,not found
21501,Ben,IL,3.0,M,0.0,1.0,0.0
46712,Brian,US,2.0,M,0.0,1.0,0.0
37444,Maksim M.,US,1.0,M,0.0,1.0,0.0
21502,Cristiane Valverde,BR,3.0,F,1.0,0.0,0.0
27897,Raju,US,1.0,M,0.0,1.0,0.0
48018,Eric,US,2.0,M,0.0,1.0,0.0
21503,Hongbin,CN,3.0,M,0.0,1.0,0.0
50691,Deeder M.,US,2.0,M,0.0,1.0,0.0
31128,Shinichi,JP,1.0,M,0.0,1.0,0.0
21504,Guang,CN,3.0,M,0.0,1.0,0.0
7915,Junchi,CN,,not found,not found,not found,not found
45657,Krupal Devendra,CA,1.0,M,0.0,1.0,0.0
27348,Peter,SE,1.0,M,0.0,1.0,0.0
43502,Crystal Kay,US,1.0,F,0.99638873,0.0,0.0
28565,Nam Gyu,KR,1.0,?,0.0,0.0,1.0
7916,Kangjin,KR,,not found,not found,not found,not found
7917,Aime,IL,,not found,not found,not found,not found
53949,Wilson L.,US,2.0,M,0.0,1.0,0.0
21505,Huining,CN,3.0,F,1.0,0.0,0.0
21506,Yuya,JP,3.0,M,0.0,1.0,0.0
44554,Kalmanje Srinivas,US,1.0,M,0.0,1.0,0.0
43845,Soo Min,KR,1.0,?,0.0,0.0,1.0
21507,Jian,US,3.0,M,0.0,1.0,0.0
30982,Shigenori,JP,1.0,M,0.0,1.0,0.0
38754,Ville,FI,1.0,M,0.0,1.0,0.0
7918,Ronak Girishbhai,US,,not found,not found,not found,not found
45478,Patricius Aloysius Jacobus,NL,1.0,M,0.0,1.0,0.0
21508,Xiuling,US,3.0,F,1.0,0.0,0.0
21509,Shan,US,3.0,M,0.0,1.0,0.0
7919,Jun,CN,,not found,not found,not found,not found
21510,Wen-Long,TW,3.0,F,1.0,0.0,0.0
42751,Damien,FR,1.0,M,0.0,1.0,0.0
43003,Sumanth,US,1.0,M,0.0,1.0,0.0
21511,Dhafer,US,3.0,M,0.0,1.0,0.0
40158,Théo,FR,1.0,M,0.0,1.0,0.0
42446,Andrew,GB,1.0,M,0.0,1.0,0.0
21512,Limei,CN,3.0,F,1.0,0.0,0.0
40763,Alice Marianne R.,US,1.0,F,0.99646789,0.0,0.0
51239,Minoru,JP,2.0,M,0.0,1.0,0.0
35234,Masaaki,JP,1.0,M,0.0,1.0,0.0
51858,Peng,US,2.0,M,0.0,1.0,0.0
7920,Sihai,CN,,not found,not found,not found,not found
21513,Xiaolong,CN,3.0,M,0.0,1.0,0.0
21514,Bo,CN,3.0,M,0.0,1.0,0.0
7921,Yoonkyoung,KR,,not found,not found,not found,not found
7922,Cheongha,KR,,not found,not found,not found,not found
52218,Raymond L.,US,2.0,M,0.0,1.0,0.0
21515,Jie,CN,3.0,M,0.0,1.0,0.0
21516,Jinguo,CN,3.0,M,0.0,1.0,0.0
43909,Srinivas T.,US,1.0,M,0.0,1.0,0.0
41597,Ankita D.,US,1.0,F,1.0,0.0,0.0
21517,Meghashree Dattatri,US,3.0,F,1.0,0.0,0.0
21518,Meetali,US,3.0,F,1.0,0.0,0.0
43760,Srilakshmi Reddy,US,1.0,F,1.0,0.0,0.0
7923,Wooseok,US,,not found,not found,not found,not found
21519,Sam,TW,3.0,M,0.0,1.0,0.0
21520,Jiyoung,KR,3.0,F,1.0,0.0,0.0
34497,Jong-ryool,KR,1.0,?,0.0,0.0,1.0
28953,Mirko,AT,1.0,M,0.0,1.0,0.0
21521,Yuzhu,US,3.0,F,1.0,0.0,0.0
21522,Riyazahamad M.,IN,3.0,M,0.0,1.0,0.0
7924,Shubun,JP,,not found,not found,not found,not found
7925,Shuanghong,CN,,not found,not found,not found,not found
43035,Steffen,DE,1.0,M,0.0,1.0,0.0
43575,Cristiano De,CH,1.0,M,0.0,1.0,0.0
21523,Zhiyuan,CN,3.0,M,0.0,1.0,0.0
21524,Juki,KR,3.0,F,1.0,0.0,0.0
36369,Meifen,CN,1.0,F,1.0,0.0,0.0
34249,Joseph Ignatius Maria,AU,1.0,M,0.0,1.0,0.0
52489,Ronald P.,US,2.0,M,0.0,1.0,0.0
21525,Jinhua,CN,3.0,F,1.0,0.0,0.0
21526,Hyun Sik,US,3.0,M,0.0,1.0,0.0
50540,Lichen,US,2.0,F,1.0,0.0,0.0
7926,Jiawei,CN,,not found,not found,not found,not found
21527,Manikandeswaran,US,3.0,M,0.0,1.0,0.0
36545,Jae-Hun,KR,1.0,?,0.0,0.0,1.0
34498,Jong Hwi,KR,1.0,?,0.0,0.0,1.0
21528,Lichun,CN,3.0,M,0.0,1.0,0.0
21529,Raveender,US,3.0,M,0.0,1.0,0.0
32113,Filippo,IT,1.0,M,0.0,1.0,0.0
21530,Jean-Marie,PE,3.0,F,1.0,0.0,0.0
27853,Paulus,NL,1.0,M,0.0,1.0,0.0
7927,Hyunggon,KR,,not found,not found,not found,not found
29373,Ophir,IL,1.0,M,0.0,1.0,0.0
52366,Robert C.,US,2.0,M,0.0,1.0,0.0
34176,Jung Hun,KR,1.0,?,0.0,0.0,1.0
7928,Meishuang,CN,,not found,not found,not found,not found
7929,Tzemah,IL,,not found,not found,not found,not found
21531,Aishan,CN,3.0,M,0.0,1.0,0.0
53806,Wei,US,2.0,M,0.0,1.0,0.0
21532,Jayaprasad,US,3.0,M,0.0,1.0,0.0
21533,Thrimoorthy,US,3.0,M,0.0,1.0,0.0
21534,Zhiyong,CN,3.0,M,0.0,1.0,0.0
35721,Mariyan,US,1.0,F,1.0,0.0,0.0
21535,Ning,CN,3.0,F,1.0,0.0,0.0
50531,Liang,US,2.0,M,0.0,1.0,0.0
35698,Mark,NL,1.0,M,0.0,1.0,0.0
28614,Hong-sil,KR,1.0,M,0.0,1.0,0.0
21536,Deepankar,US,3.0,M,0.0,1.0,0.0
39393,Chon Hee,KR,1.0,?,0.0,0.0,1.0
21537,Shich-Chang,TW,3.0,M,0.0,1.0,0.0
21538,Xia-Hui,CN,3.0,F,1.0,0.0,0.0
30372,Sergey Surenovich,RU,1.0,M,0.0,1.0,0.0
21539,Hai,CN,3.0,M,0.0,1.0,0.0
7930,Liangchen,CN,,not found,not found,not found,not found
21540,Kun,DE,3.0,M,0.0,1.0,0.0
34298,Joong-Ho,KR,1.0,?,0.0,0.0,1.0
43611,Dai Hien,KR,1.0,?,0.0,0.0,1.0
7931,Yiteng,CN,,not found,not found,not found,not found
21541,Yinghui,US,3.0,F,1.0,0.0,0.0
