,name_first,country,level,gender,F,M,?
17729,Mudhakar,US,3.0,M,0.0,1.0,0.0
100,Yaoguo,CN,,not found,not found,not found,not found
17730,Qian Ren,MY,3.0,M,0.0,1.0,0.0
101,Shih-Ming,TW,,not found,not found,not found,not found
37967,Xin,US,1.0,F,0.83837461,0.0,0.0
102,Huisang,KR,,not found,not found,not found,not found
30157,Meirav,IL,1.0,F,1.0,0.0,0.0
103,Da-Jung,TW,,not found,not found,not found,not found
50853,Manuel A.,US,2.0,M,0.0,1.0,0.0
28235,Kristoffer,SE,1.0,M,0.0,1.0,0.0
37415,Vincent,DE,1.0,M,0.0,1.0,0.0
104,Meng-Tsan,TW,,not found,not found,not found,not found
105,Rengao,CN,,not found,not found,not found,not found
106,Hideho,JP,,not found,not found,not found,not found
53657,Tyson,CA,2.0,M,0.0,1.0,0.0
107,Kaiyao,CN,,not found,not found,not found,not found
31171,Masayoshi,JP,1.0,M,0.0,1.0,0.0
37698,Yasunori,JP,1.0,M,0.0,1.0,0.0
108,Shih-Chieh,TW,,not found,not found,not found,not found
109,Qingcheng,US,,not found,not found,not found,not found
110,Shu-Fa,TW,,not found,not found,not found,not found
111,Ben-qi,CN,,not found,not found,not found,not found
112,Yeongseop,KR,,not found,not found,not found,not found
44173,Celine,FR,1.0,F,1.0,0.0,0.0
17731,Sam,CN,3.0,M,0.0,1.0,0.0
113,Sanggyun,KR,,not found,not found,not found,not found
30916,Madhvesh,IN,1.0,M,0.0,1.0,0.0
31146,Matteo,IT,1.0,M,0.0,1.0,0.0
52032,Pouria,CA,2.0,M,0.0,1.0,0.0
30316,Naoto,JP,1.0,M,0.0,1.0,0.0
114,Keunjoo,KR,,not found,not found,not found,not found
46193,Shreepad Amar,US,2.0,M,0.0,1.0,0.0
115,Heechoon,US,,not found,not found,not found,not found
39293,Pavel,CZ,1.0,M,0.0,1.0,0.0
49391,Jerry Gregory,US,2.0,M,0.0,1.0,0.0
28342,Kwang-Jo,KR,1.0,M,0.0,1.0,0.0
116,Kinobu,JP,,not found,not found,not found,not found
117,Zhixia,CN,,not found,not found,not found,not found
30308,Naoya,JP,1.0,M,0.0,1.0,0.0
33406,Joanne,US,1.0,F,0.99761426,0.0,0.0
118,Yukinao,JP,,not found,not found,not found,not found
119,Chih-Hsiu,TW,,not found,not found,not found,not found
120,Rohitha,US,,not found,not found,not found,not found
17732,Xiaolong,CN,3.0,M,0.0,1.0,0.0
121,Seyedkianoush,US,,not found,not found,not found,not found
122,YoungHun,KR,,not found,not found,not found,not found
47110,Chandrakanth,IN,2.0,M,0.0,1.0,0.0
123,Youn-Hyoung,KR,,not found,not found,not found,not found
45175,Kyung Mook,KR,1.0,?,0.0,0.0,1.0
34136,Jae Eun,KR,1.0,?,0.0,0.0,1.0
124,Xiu'e,CN,,not found,not found,not found,not found
125,Yunhai,CN,,not found,not found,not found,not found
126,Kyoungtae,KR,,not found,not found,not found,not found
17733,Ming,US,3.0,M,0.0,1.0,0.0
127,Masaoki,JP,,not found,not found,not found,not found
128,Ryo,JP,,not found,not found,not found,not found
32537,Gediminas,LT,1.0,M,0.0,1.0,0.0
17734,Qi,HK,3.0,M,0.0,1.0,0.0
17735,You,CN,3.0,M,0.0,1.0,0.0
17736,Yuan,CN,3.0,M,0.0,1.0,0.0
32279,Guoliang,CN,1.0,M,0.0,1.0,0.0
129,Gi-hun,KR,,not found,not found,not found,not found
39301,Pengfei,CN,1.0,M,0.0,1.0,0.0
130,Yingzhi,CN,,not found,not found,not found,not found
35149,Vaibhav,IN,1.0,M,0.0,1.0,0.0
50268,Kevin,US,2.0,M,0.0,1.0,0.0
17737,Yi,US,3.0,M,0.0,1.0,0.0
17738,Peng,CN,3.0,M,0.0,1.0,0.0
36885,Zineb,US,1.0,F,1.0,0.0,0.0
46280,Kyle Andrew,US,2.0,M,0.0,1.0,0.0
48000,Edgar Iván,MX,2.0,M,0.0,1.0,0.0
17739,Qian Xia,CN,3.0,M,0.0,1.0,0.0
131,Jeungsoo,KR,,not found,not found,not found,not found
17740,Bei,CN,3.0,F,1.0,0.0,0.0
28259,Kyoung Ju,KR,1.0,?,0.0,0.0,1.0
37269,Weisheng,CN,1.0,M,0.0,1.0,0.0
52052,Vara Prasad,IN,2.0,M,0.0,1.0,0.0
132,Chung-Liang,TW,,not found,not found,not found,not found
47686,David,US,2.0,M,0.0,1.0,0.0
38319,Priyanka,US,1.0,F,1.0,0.0,0.0
33402,Joao Luiz,BR,1.0,M,0.0,1.0,0.0
49432,Jevon,US,2.0,M,0.0,1.0,0.0
133,Yifan,CN,,not found,not found,not found,not found
17741,Jinhai,US,3.0,M,0.0,1.0,0.0
134,Sungsoo,KR,,not found,not found,not found,not found
17742,Kaiming,CN,3.0,M,0.0,1.0,0.0
17743,Haitao,CN,3.0,M,0.0,1.0,0.0
17744,Yi,US,3.0,M,0.0,1.0,0.0
45305,Georges Marinus Alfons,BE,1.0,M,0.0,1.0,0.0
135,Yuejun,CN,,not found,not found,not found,not found
33236,Jong Chul,KR,1.0,?,0.0,0.0,1.0
17745,Pedro Miguel,SA,3.0,M,0.0,1.0,0.0
136,Un-Byoung,KR,,not found,not found,not found,not found
137,Kaichiro,JP,,not found,not found,not found,not found
138,Eunjeong,KR,,not found,not found,not found,not found
17746,Fangyi,CN,3.0,F,1.0,0.0,0.0
37414,Vincent,FR,1.0,M,0.0,1.0,0.0
139,Handong,US,,not found,not found,not found,not found
140,Shang-Yu,TW,,not found,not found,not found,not found
36493,Young Taik,KR,1.0,?,0.0,0.0,0.66666669
141,Ahishay,IL,,not found,not found,not found,not found
142,Yunhyeok,KR,,not found,not found,not found,not found
17747,Yajun,CN,3.0,F,1.0,0.0,0.0
54060,Xian,US,2.0,M,0.0,1.0,0.0
143,Joonbeom,US,,not found,not found,not found,not found
17748,Sahim,JP,3.0,M,0.0,1.0,0.0
17749,Ningning,CN,3.0,F,1.0,0.0,0.0
17750,Bok Eng,MY,3.0,M,0.0,1.0,0.0
38077,Rafael,BR,1.0,M,0.0,1.0,0.0
144,Yanxue,CN,,not found,not found,not found,not found
17751,Ujwal,US,3.0,M,0.0,1.0,0.0
145,Zhao-Cheng,TW,,not found,not found,not found,not found
17752,Tong,CN,3.0,M,0.0,1.0,0.0
51363,Mohammad Sadegh,US,2.0,M,0.0,1.0,0.0
146,Daamun,US,,not found,not found,not found,not found
53066,Shun,JP,2.0,M,0.0,1.0,0.0
17753,Xiaohui,US,3.0,F,1.0,0.0,0.0
42294,Atso,FI,1.0,M,0.0,1.0,0.0
17754,Yonghui,US,3.0,M,0.0,1.0,0.0
147,Zhengbin,CN,,not found,not found,not found,not found
49368,Jeremy Matthew,US,2.0,M,0.0,1.0,0.0
35211,Ulrich,DE,1.0,M,0.0,1.0,0.0
148,Huyndon,KR,,not found,not found,not found,not found
35737,Sul Ki,KR,1.0,?,0.0,0.0,1.0
149,Erh-Kun,TW,,not found,not found,not found,not found
